review_id,product_id,customer_id,rating,review_text,created_at
1,47,118cbf77-1774-4a80-b940-a3f480c34df2,5,Recommend good fast nice excellent amazing good quality quality quality quality good good recommend nice excellent.,2025-06-27T23:28:46.568201
2,137,658a2e0f-fe9d-49a6-a13e-8f60240727bf,5,Good fast excellent good excellent love great quality.,2024-09-01T23:28:46.568241
3,102,06a7caa4-180c-45b0-9ec7-976f7b6439d3,2,Amazing amazing quality nice amazing.,2024-12-26T23:28:46.568257
4,145,eadcbc24-24f2-4b0a-9965-b4ec106f9cdf,5,Nice good great recommend recommend quality nice excellent love excellent good quality recommend.,2025-07-02T23:28:46.568272
5,41,d1c20c7e-e339-471c-9010-559e9df9b8e0,4,Great recommend nice quality recommend quality great quality recommend nice good great amazing amazing fast amazing fast nice love.,2025-08-01T23:28:46.568287
6,195,38fd3410-fb7b-4218-ac33-dd5bc9c2e720,4,Excellent excellent great fast nice fast recommend great amazing love love recommend good quality nice amazing fast great good nice.,2024-03-25T23:28:46.568297
7,42,223dabce-a024-47a1-b195-b1e31ea0e98a,5,Quality recommend quality good excellent excellent good nice recommend fast great great recommend good.,2024-08-02T23:28:46.568307
8,19,3314b78d-734b-4bb7-8e00-d73468634fef,5,Recommend love fast quality great recommend recommend great fast fast love quality fast recommend nice amazing.,2025-03-01T23:28:46.568316
9,29,e7c93db8-9f50-4464-b1ea-6be0e31930a5,4,Love good good love amazing excellent good love.,2025-05-30T23:28:46.568324
10,165,651c5680-ae82-4a87-bb17-d9aabf91dc14,2,Good amazing amazing excellent fast nice nice fast good.,2025-04-28T23:28:46.568334
11,186,2c8a7f78-56e4-4e34-a473-4a7e954dfe53,4,Good excellent excellent fast fast excellent fast love nice recommend great.,2024-07-26T23:28:46.568342
12,165,3ec64af0-6050-4961-9207-c6b80f054f58,5,Nice amazing love amazing nice fast good quality love nice recommend amazing nice good recommend nice.,2024-12-24T23:28:46.568350
13,18,6c92baa9-ea3a-4546-9034-c0eb1c5455b5,5,Recommend love fast good amazing good amazing fast amazing great fast good nice nice recommend good excellent great recommend.,2024-09-19T23:28:46.568360
14,92,3314b78d-734b-4bb7-8e00-d73468634fef,5,Excellent nice nice excellent excellent quality fast nice good nice excellent quality good amazing great.,2025-02-21T23:28:46.568367
15,19,a8631834-2865-44dc-9b0d-986fb7ae256c,4,Great good great nice quality great excellent love fast quality good fast great fast great.,2025-05-20T23:28:46.568376
16,45,a759e2a3-dbdf-49c6-b17e-c8559408fd1e,3,Quality love fast love love recommend excellent great.,2024-03-27T23:28:46.568383
17,50,26397945-9b25-4cbe-b701-52432f35ec94,5,Amazing recommend quality fast quality great.,2024-10-12T23:28:46.568391
18,111,4dcc8373-9aef-4f4f-9a45-f33b53c851b4,2,Amazing love excellent excellent excellent quality amazing amazing recommend amazing excellent quality nice quality good nice good good recommend fast.,2025-05-14T23:28:46.568400
19,45,0e45baa1-810d-46b1-af68-4db3ad4641a8,5,Quality great good excellent good recommend excellent love love fast quality quality good love.,2024-08-13T23:28:46.568408
20,63,3a68327d-5722-4fd1-998b-a75c10877779,4,Nice love nice love good quality great good amazing amazing quality quality quality.,2025-09-11T23:28:46.568416
21,56,6e142859-2fc2-4c48-b5de-e62f82ddbbcd,2,Love good amazing fast great nice excellent good excellent love.,2025-03-18T23:28:46.568424
22,107,93dca8c2-9ce9-403c-beb7-b9828020a5a0,5,Love good amazing fast good fast quality great love love amazing fast quality recommend fast good.,2024-04-23T23:28:46.568434
23,14,0f2053a6-0b97-4462-82ea-fbfea659ed59,4,Quality fast good fast amazing quality love nice fast recommend recommend quality quality good love excellent love.,2025-07-25T23:28:46.568478
24,186,ce09ec42-1425-4fd4-8536-c65f8026999d,5,Good excellent nice great love love recommend amazing good quality.,2025-09-10T23:28:46.568491
25,20,4a557de1-8659-4425-8c97-23778111ae9d,5,Amazing recommend love great great.,2024-10-30T23:28:46.568512
26,76,3ec64af0-6050-4961-9207-c6b80f054f58,5,Fast fast excellent great good nice recommend good.,2024-06-16T23:28:46.568523
27,50,ce10d58b-e1cb-44bc-877f-afbba731ec48,1,Nice love excellent quality amazing love quality great quality quality quality amazing quality fast love quality nice amazing.,2025-08-09T23:28:46.568535
28,193,8e8e3dd1-84fb-4daf-96dd-e17e8823650a,4,Nice nice recommend good excellent nice quality nice great amazing excellent good fast great.,2025-02-12T23:28:46.568546
29,195,e2205a3a-5d05-418c-a138-01f74cde3b51,3,Amazing recommend excellent quality nice amazing great great fast love quality love nice quality fast excellent excellent recommend.,2025-04-29T23:28:46.568557
30,105,344244da-a713-493b-a92c-078f4a295e83,5,Excellent fast love nice good quality love love recommend excellent nice great excellent great nice nice love amazing great.,2025-05-22T23:28:46.568569
31,162,95906eec-7fa0-44df-b57b-97125226490f,5,Recommend great amazing love recommend great love excellent fast.,2024-11-11T23:28:46.568580
32,194,e9b1fda8-a652-4c27-8aba-85ba0b277759,3,Nice love love fast fast.,2024-12-11T23:28:46.568590
33,54,70d03b0e-e7ec-4121-b3fa-7c1c1e6c006c,4,Nice quality excellent fast recommend love amazing fast great recommend love amazing.,2025-10-31T23:28:46.568601
34,27,6159789c-159f-4b70-90a4-c1eb84d71a1e,5,Quality quality amazing nice fast nice nice great recommend amazing excellent nice quality good amazing love.,2025-01-16T23:28:46.568614
35,40,31b838bc-5ca9-47fb-8f40-1d40427c064e,4,Recommend recommend nice love good fast fast great nice good amazing quality great excellent excellent recommend excellent nice recommend amazing.,2025-02-06T23:28:46.568629
36,42,c1bd0e2f-7cca-47ea-ba1f-3f3110f343be,4,Fast amazing excellent great good fast good recommend nice amazing love excellent amazing good recommend good nice.,2024-12-09T23:28:46.568644
37,119,5f675441-a173-412e-bcac-fc0dff933b12,2,Amazing great love love amazing love quality excellent nice nice excellent great fast excellent.,2025-03-28T23:28:46.568654
38,91,8b239247-52d1-4775-9083-c052774dfc4f,4,Recommend excellent quality good good fast recommend.,2025-09-17T23:28:46.568661
39,186,b227bce0-b06b-4d93-a914-94c0d0e49b7f,5,Nice recommend recommend great quality love recommend nice nice.,2024-07-27T23:28:46.568669
40,169,0ca29073-8800-42d5-ba7a-5e69df834b2c,4,Love love excellent amazing excellent quality love good nice excellent quality amazing quality.,2024-12-28T23:28:46.568677
41,78,69e9d43b-9c85-4945-96fa-898c9772a7d6,5,Love nice love great recommend love nice amazing nice excellent love excellent excellent amazing good.,2025-06-22T23:28:46.568685
42,144,404de692-7a14-4885-aebd-1aa0522e5127,2,Good fast love amazing excellent fast nice good excellent recommend good amazing love love.,2025-03-31T23:28:46.568693
43,38,3583d919-75f2-4ab8-84bc-c217e2b4ad60,4,Great fast quality excellent nice recommend recommend amazing great love love good recommend great fast love love great.,2024-04-24T23:28:46.568701
44,59,a8d4e6bc-039e-4e96-b6f7-3069e6f0afd7,5,Excellent good quality amazing fast good excellent.,2025-03-27T23:28:46.568709
45,54,7b1938f6-ca89-4a6c-8a4c-7a062bbff1fc,5,Amazing quality good excellent amazing great love quality.,2025-05-31T23:28:46.568717
46,116,534917bc-103f-48b0-9a57-3557b4214c05,2,Excellent fast good nice excellent amazing fast excellent recommend great nice nice great great.,2025-09-25T23:28:46.568725
47,178,62b4fce0-6b15-4b0e-99cc-949b67b952fb,4,Excellent great recommend fast quality amazing great great nice nice excellent excellent nice amazing quality love love nice recommend fast.,2024-08-02T23:28:46.568733
48,83,2cab6220-f771-40bd-9037-296f850c6f97,4,Fast recommend excellent quality amazing love recommend quality fast great good amazing nice quality nice recommend.,2025-08-30T23:28:46.568742
49,193,0bd3e7a5-8767-4c2c-97a7-854fab606730,4,Nice recommend love great great excellent nice excellent recommend recommend fast.,2025-02-14T23:28:46.568751
50,14,a2bcc35e-eaca-4456-88f2-caced13f9cc7,4,Love amazing love great quality nice good love quality fast.,2025-07-20T23:28:46.568759
51,30,87a2c354-8944-49b4-86b5-952099af4cad,5,Fast great recommend amazing great fast quality nice recommend recommend quality nice good great love great excellent nice amazing amazing.,2025-04-15T23:28:46.568769
52,28,2a46a712-9ebd-4e9c-8cbb-a80f7409e51d,5,Quality love great quality recommend great fast excellent good amazing quality good nice fast great.,2025-03-04T23:28:46.568777
53,178,5df73a88-a3f6-46f3-a7f1-21f7a26bc972,2,Excellent nice excellent good quality great great love fast fast fast quality great excellent fast excellent quality good great amazing.,2024-05-19T23:28:46.568785
54,4,ff0cda03-03f1-4c88-b5af-eb697cbf6e35,5,Good amazing good amazing quality amazing excellent amazing fast great great amazing excellent fast quality recommend great.,2025-01-19T23:28:46.568794
55,153,6f138189-e99c-4070-bdeb-2aa88fffa104,5,Fast fast excellent love good amazing fast great excellent amazing quality great good love excellent.,2024-07-04T23:28:46.568802
56,158,50f3cb6e-08cb-4bc0-a286-faf9e0ea2846,5,Love amazing quality amazing great recommend excellent love amazing excellent.,2025-09-04T23:28:46.568809
57,168,a218bafd-37ca-480c-baf3-902e64e81f56,5,Nice quality recommend excellent recommend amazing fast nice.,2025-01-11T23:28:46.568816
58,139,160539c8-302c-486a-b1f4-9846bafa7e57,5,Recommend great quality love good recommend great good amazing amazing recommend love great nice quality love.,2024-05-21T23:28:46.568825
59,76,7446d724-2c50-4420-bc61-ae3ffb5c38b0,4,Recommend nice nice great love excellent quality recommend fast nice quality.,2025-11-10T23:28:46.568833
60,152,7122c1f8-f3ec-46b8-b2bd-8bbc06ecfb16,5,Recommend love quality fast quality amazing fast excellent fast excellent quality love fast.,2025-07-10T23:28:46.568840
61,102,bd270376-c0d5-4812-88c5-e76b5b47ed6e,2,Nice amazing love nice good.,2025-07-28T23:28:46.568847
62,188,efe45784-9694-4297-aa36-1b33aff2f12d,3,Good recommend nice quality recommend love.,2025-04-17T23:28:46.568854
63,107,b3a94c91-1315-4802-9c2f-59e19fdd9619,4,Recommend excellent excellent amazing quality love fast great quality nice nice good recommend good fast fast.,2025-10-21T23:28:46.568862
